Município,Data da Coleta,Resultado
FAINA                                                       ,2016-05-17,0.0
FAINA                                                       ,2016-05-17,0.0
BEZERROS                                                    ,2016-07-13,0.0
BEZERROS                                                    ,2016-07-13,0.0
VIRADOURO                                                   ,2016-09-26,1.0
VIRADOURO                                                   ,2016-09-26,3.0
VIRADOURO                                                   ,2016-09-26,2.0
SAO JOSE DO EGITO                                           ,2016-04-19,0.0
CARPINA                                                     ,2016-05-24,1201.0
SIMOES FILHO                                                ,2016-04-12,543.0
OURICURI                                                    ,2017-02-16,0.0
SALGUEIRO                                                   ,2017-06-12,0.0
CARUARU                                                     ,2017-07-11,20686.0
BELEM DE SAO FRANCISCO                                      ,2017-04-10,0.0
MARINGA                                                     ,2017-04-18,100.0
FRONTEIRA                                                   ,2017-10-16,0.0
FRONTEIRA                                                   ,2017-10-16,0.0
FRONTEIRA                                                   ,2017-10-16,0.0
FRONTEIRA                                                   ,2017-11-12,0.0
FRONTEIRA                                                   ,2017-11-12,0.0
FRONTEIRA                                                   ,2017-10-16,0.0
FRONTEIRA                                                   ,2017-10-16,0.0
FRONTEIRA                                                   ,2017-10-16,0.0
FRONTEIRA                                                   ,2017-11-12,0.0
FRONTEIRA                                                   ,2017-09-17,0.0
FRONTEIRA                                                   ,2017-09-17,0.0
FRONTEIRA                                                   ,2017-09-17,0.0
PALMEIRA DOS INDIOS                                         ,2017-11-08,0.0
PALMEIRA DOS INDIOS                                         ,2017-11-08,0.0
PALMEIRA DOS INDIOS                                         ,2017-11-08,0.0
NAZARE DA MATA                                              ,2017-06-21,0.0
MACHACALIS                                                  ,2017-01-23,100.0
MACHACALIS                                                  ,2017-01-23,100.0
MACHACALIS                                                  ,2017-06-21,100.0
ITAMBE                                                      ,2017-04-25,1593.0
SAO LOURENCO DA MATA                                        ,2017-05-23,3187.0
SAO LOURENCO DA MATA                                        ,2017-05-23,4571.0
SAO LOURENCO DA MATA                                        ,2017-05-23,2597.0
CONCEICAO DA FEIRA                                          ,2017-05-30,0.0
SAO LOURENCO DA MATA                                        ,2017-03-29,1279.0
JABOATAO DOS GUARARAPES                                     ,2017-01-25,866.0
CABO DE SANTO AGOSTINHO                                     ,2017-01-26,23770.0
CHA GRANDE                                                  ,2017-01-25,457.0
SALVADOR                                                    ,2017-11-20,0.0
SALVADOR                                                    ,2017-10-09,0.0
SALVADOR                                                    ,2017-10-09,0.0
SALVADOR                                                    ,2017-01-09,219.0
SALVADOR                                                    ,2017-10-24,0.0
SALVADOR                                                    ,2017-08-15,1167.0
SALVADOR                                                    ,2017-01-23,3601.0
SALVADOR                                                    ,2017-01-23,4796.0
SALVADOR                                                    ,2017-12-19,1910.0
SALVADOR                                                    ,2017-12-19,95.0
BEZERROS                                                    ,2017-05-23,1828.0
JOAO ALFREDO                                                ,2017-03-22,7038.0
BUENO BRANDAO                                               ,2017-06-07,0.0
FEIRA NOVA                                                  ,2017-02-15,31583.0
FEIRA NOVA                                                  ,2017-07-19,1279.0
FEIRA NOVA                                                  ,2017-07-19,519.0
FEIRA NOVA                                                  ,2017-04-19,6618.0
BUENO BRANDAO                                               ,2017-06-07,0.0
BUENO BRANDAO                                               ,2017-06-07,0.0
BUENO BRANDAO                                               ,2017-06-07,0.0
GARANHUNS                                                   ,2017-04-25,403560.0
BUENO BRANDAO                                               ,2017-06-07,0.0
BUENO BRANDAO                                               ,2017-06-07,0.0
BUENO BRANDAO                                               ,2017-06-07,0.0
SERRA TALHADA                                               ,2017-08-07,1039.0
SERRA TALHADA                                               ,2017-08-07,11867.0
LAGOA DE ITAENGA                                            ,2017-05-16,1524.0
LAGOA DE ITAENGA                                            ,2017-03-22,2057.0
LAGOA DE ITAENGA                                            ,2017-02-16,1539.0
LAGOA DE ITAENGA                                            ,2017-02-16,120322.0
LAGOA DE ITAENGA                                            ,2017-01-18,277.0
LAGOA DE ITAENGA                                            ,2017-06-21,6003.0
LAGOA DO CARRO                                              ,2017-06-21,519.0
LAGOA DO CARRO                                              ,2017-05-16,2078.0
LAGOA DO CARRO                                              ,2017-06-21,76615.0
LAGOA DO CARRO                                              ,2017-03-22,8685.0
LAGOA DO CARRO                                              ,2017-01-18,2413.0
LIMOEIRO                                                    ,2017-04-19,3657.0
LIMOEIRO                                                    ,2017-03-22,69261.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-11-06,1.0
CERRO GRANDE                                                ,2018-11-06,0.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-11-06,0.0
CERRO GRANDE                                                ,2018-11-06,0.0
CERRO GRANDE                                                ,2018-11-06,1.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-08-08,1.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-09-11,0.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-11-06,0.0
CERRO GRANDE                                                ,2018-12-04,0.0
CERRO GRANDE                                                ,2018-12-04,0.0
CERRO GRANDE                                                ,2018-12-04,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-12-04,0.0
ENEAS MARQUES                                               ,2018-04-09,0.0
ENEAS MARQUES                                               ,2018-04-09,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-11-06,0.0
CERRO GRANDE                                                ,2018-11-06,0.0
CERRO GRANDE                                                ,2018-12-04,1.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-10-09,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-12-04,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-08-08,0.0
CERRO GRANDE                                                ,2018-12-04,0.0
SAO LOURENCO DA MATA                                        ,2018-11-05,0.02
JABOATAO DOS GUARARAPES                                     ,2018-11-05,0.15
SAO LOURENCO DA MATA                                        ,2018-08-07,0.0
SAO LOURENCO DA MATA                                        ,2018-07-03,3.93
SAO LOURENCO DA MATA                                        ,2018-07-03,0.0
JABOATAO DOS GUARARAPES                                     ,2018-06-05,0.0
PETROLINA                                                   ,2018-03-14,0.0
CONQUISTA D'OESTE                                           ,2018-02-15,0.0
BEZERROS                                                    ,2018-06-19,229.0
FEIRA NOVA                                                  ,2018-03-07,0.03
FEIRA NOVA                                                  ,2018-03-07,0.03
FEIRA NOVA                                                  ,2018-10-17,0.03
FEIRA NOVA                                                  ,2018-10-17,876.0
FEIRA NOVA                                                  ,2018-05-09,0.0
FEIRA NOVA                                                  ,2018-06-05,2401.0
FEIRA NOVA                                                  ,2018-09-19,0.34
PETROLINA                                                   ,2018-03-14,0.0
BELEM DE SAO FRANCISCO                                      ,2018-04-14,0.14
MACHACALIS                                                  ,2018-02-19,100.0
MACHACALIS                                                  ,2018-07-11,100.0
MACHACALIS                                                  ,2018-10-24,100.0
MACHACALIS                                                  ,2018-11-21,100.0
MACHACALIS                                                  ,2018-12-05,100.0
FEIRA NOVA                                                  ,2018-02-21,4202.0
CARLOPOLIS                                                  ,2018-08-20,0.0
CARLOPOLIS                                                  ,2018-08-20,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
CARLOPOLIS                                                  ,2018-08-13,0.0
CARLOPOLIS                                                  ,2018-08-13,0.0
CARLOPOLIS                                                  ,2018-08-13,0.0
OURICURI                                                    ,2018-02-23,3620.0
SERTANIA                                                    ,2018-11-26,0.0
SAO JOSE DO EGITO                                           ,2018-07-09,0.0
LIMOEIRO                                                    ,2018-09-19,1381.0
LIMOEIRO                                                    ,2018-04-04,1.56
LIMOEIRO                                                    ,2018-10-17,0.04
LIMOEIRO                                                    ,2018-06-05,3809.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-04-10,0.0
FRONTEIRA                                                   ,2018-05-08,0.0
FRONTEIRA                                                   ,2018-06-11,0.0
FRONTEIRA                                                   ,2018-09-11,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-07-09,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
FRONTEIRA                                                   ,2018-10-08,0.0
