municipio,ano_mes,casos_sg,media_resultado_ciano
SALVADOR,2024-10,39,0.006904761904761906
SALVADOR,2024-11,30,0.0005128205128205128
SALVADOR,2024-12,28,0.0
SANTA MARIA DA BOA VISTA,2024-02,1,0.0
SANTA MARIA DA BOA VISTA,2024-04,3,59.0
SERRA TALHADA,2024-01,2,28787.5
SERRA TALHADA,2024-02,4,83591.195
SERRA TALHADA,2024-03,7,88278.7975
SERRA TALHADA,2024-04,2,59805.2
SERRA TALHADA,2024-05,1,205098.5
SERRA TALHADA,2024-07,3,108255.9
SERRA TALHADA,2024-08,3,64283.142857142855
SERRA TALHADA,2024-09,3,69739.85714285714
SERRA TALHADA,2024-10,2,130980.16666666667
SERRA TALHADA,2024-11,1,151142.0
SERRA TALHADA,2024-12,1,424055.8
SOORETAMA,2024-02,1,703.0
TEIXEIRA DE FREITAS,2023-03,1,0.05666666666666667
TEIXEIRA DE FREITAS,2023-05,1,0.05666666666666667
TERRA NOVA,2024-03,2,18704.655
